week.ending, ICB.industry.num, ICB.industry.name, weight, return
2020-04-03,9000,Technology,42.34409148553671,-1.8039399825124924
2020-04-03,5000,Consumer Services,27.13073068266943,-16.01965576789066
2020-04-03,8000,Financials,14.556330884939692,-10.022817565103425
2020-04-03,3000,Consumer Goods,10.92403655716783,1.288172965846579
2020-04-03,6000,Telecommunications,4.96503816573381,-7.975874852362653
2020-04-03,0,Liquidity Reserve,0.07977222395253128,53.319502074688806
2020-04-09,9000,Technology,36.93081209089401,11.105741476635945
2020-04-09,5000,Consumer Services,25.768645222968896,20.99587361811428
2020-04-09,8000,Financials,15.234419314359466,33.32587712956627
2020-04-09,3000,Consumer Goods,9.110214336666177,6.239474433164127
2020-04-09,6000,Telecommunications,4.36158321621671,11.908232216994886
2020-04-09,0,Liquidity Reserve,8.59432581889475,13624.627875507444
2020-04-17,9000,Technology,41.63865026296809,14.686942485108068
2020-04-17,5000,Consumer Services,29.541144350977632,16.611643903507844
2020-04-17,8000,Financials,14.265518655891213,-4.749371436652172
2020-04-17,3000,Consumer Goods,9.520249550746625,6.2982040466432965
2020-04-17,6000,Telecommunications,4.357600356507193,1.6270745442504175
2020-04-17,0,Liquidity Reserve,0.6768368229092461,-91.98915454769534
2020-04-24,9000,Technology,42.09232210397609,0.24415846558167864
2020-04-24,5000,Consumer Services,29.992550248527618,0.6790045315566928
2020-04-24,8000,Financials,13.478134739052411,-6.309607137044559
2020-04-24,3000,Consumer Goods,9.573977030303084,-0.2766449896865031
2020-04-24,6000,Telecommunications,4.180471104170124,-4.867116490693446
2020-04-24,0,Liquidity Reserve,0.6825447739706784,0.0
